Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('d1600378', 0.0)
('d1600379', 0.0)
('d1600380', 0.0)
('d1600381', 0.0)
('d1600382', 0.0)
('d1600383', 0.0)
('d1600384', 0.0)
('d1600385', 0.0)
('d1600386', 0.0)
('d1600387', 0.0)
('d1600388', 0.0)
('d1600389', 0.0)
('d1600390', 0.0)
('d1600391', 0.0)
('d1600392', 0.0)
('d1600393', 0.0)
('d1600394', 0.0)
('d1600395', 0.0)
('d1600396', 0.0)
('d1600397', 0.0)
('d1600398', 0.0)
('d1600399', 0.0)
('d1600400', 0.0)
('d1600401', 0.0)
('d1600402', 0.0)
('d1600403', 0.0)
('d1600404', 0.0)
('d1600405', 0.0)
('d1600406', 0.0)
('d1600407', 0.0)
('d1600408', 0.0)
('d1600409', 0.0)
('d1600410', 0.0)
('d1600411', 0.0)
('d1600412', 0.0)
('d1600413', 0.0)
('d1600414', 0.0)
('d1600415', 0.0)
('d1600416', 0.0)
('d1600417', 0.0)
('d1600418', 0.0)
('d1600419', 0.42447782680073465)
('d1600420', 0.0)
('d1600421', 6.496695027114543)
('d1600422', 0.7843612016970097)
('d1600423', 0.7843612016970097)
('d1600424', 8.367105217737983)
('d1600425', 11.183768480872246)
('d1600426', 8.543224924739496)
('d1600427', 0.0)
('d1600428', 3.526796442604109)
('d1600429', 11.121357890193428)
('d1600430', 1.5687224033940195)
('d1600431', 1.5687224033940195)
('d1600432', 2.3530836050910295)
('d1600433', 8.909107813267596)
('d1600434', 19.83441862913979)
('d1600435', 8.640163690963568)
('d1600436', 2.3530836050910295)
('d1600437', 2.3530836050910295)
('d1600438', 4.822284581033267)
